TeamAName,TeamBName,Mosavi,WinA,WinB,TeamAGoal,TeamBGoal,Result
irlandn,ghebres,3,2.19,3.95,0,0
chek,spain,3.8,5.15,1.74,2,2
bulgaria,gorgia,2.9,2.86,2.95,2,5
sweden,norway,3.15,2.7,2.95,1,2
serbia,slowny,4.1,1.52,7.75,4,1
portugal,switzerland,3.9,1.72,5.25,4,0
cozovo,greece,3.05,3.3,2.5,0,1
walse,ukrain,3.05,2.62,3.1,1,0
gilbartar,magdunia,5,21,1.15,0,2
eqypt,gine,3.7,1.47,8.9,1,0
austria,denmark,3.4,2.95,2.53,1,2
croatia,france,3.5,3.8,2.1,1,1
island,albani,3.15,2.63,3,1,1
germany,england,3.4,2.27,3.4,1,1
belarus,azarbaijan,3.05,2.95,2.75,0,0
slovakia,kazakhstan,5.5,1.27,13.5,0,1
latvia,likhtenstein,6.45,1.2,18,1,0
andora,moldavi,3.15,4.2,2.08,0,0
bragantino,internacional,3.15,2.34,3.2,0,2
finland,montenegro,3.2,1.85,5.6,2,0
italy,hungary,4.25,1.5,7.75,2,1
bosnia,romania,3.45,2.05,4,1,0
fareoisland,luxembourg,3.35,4.1,2.05,0,1
litvani,turkey,5.2,12,1.3,0,6
scotland,armenia,5.05,1.38,9.25,2,0
irland,ukrain,3.2,2.48,3.2,0,1
belgium,poland,4.05,1.6,6.3,6,1
walse,netherland,3.9,5.35,1.7,1,2
gilbartar,bulgaria,6.6,16,1.22,1,1
sweden,serbia,3.15,3.3,2.46,0,1
switzerland,spain,3.45,4.1,2,0,1
malt,estonia,2.95,2.83,3,1,2
magdunia,gorgia,3.1,2.48,3.3,0,3
norway,slowny,4.95,1.37,10.5,0,0
portugal,chek,5.6,1.34,9.7,2,0
cozovo,irlandn,3.05,2.27,3.75,3,2
greece,ghebres,6.3,1.24,13,3,0
palmeiras,botafogo,4.7,1.43,7.6,4,0
saopaulo,coritiba,3.05,2.3,3.35,1,1
fortaleza,goias,3.9,1.56,6.7,1,1
meddelin,envigado,3.7,1.6,5.9,2,1
azarbaijan,slovakia,3.25,4.3,2.06,0,1
moldavi,latvia,2.95,3.65,2.35,2,4
denmark,croatia,3.75,1.8,4.85,0,1
andora,likhtenstein,3.6,1.63,6.95,2,1
austria,france,3.9,4.9,1.75,1,1
albani,israel,3.25,2.29,3.5,2,1
belarus,kazakhstan,2.9,2.52,3.45,1,1
jimansia,patronato_argantina,3.4,1.8,4.6,2,0
universidad central,estudiantesvs-venzuella,3.1,3,2.36,0,3
kyoto sanga,nagoya grampus-leage japan,3.15,3.15,2.36,0,1
irland,scotland,2.95,2.85,2.87,3,0
fareoisland,latvia,3.1,2.48,3.25,2,1
england,italy,3.4,1.87,4.95,0,0
hungary,germany,4.7,6.8,1.49,1,1
luxembourg,turkey,4.1,6.55,1.56,0,2
montenegro,bosnia,3.15,3.9,2.19,1,1
netherland,poland,5.5,1.35,9.7,2,2
romania,finland,3.15,2.81,2.8,1,0
walse,belgicum,3.65,4.35,1.9,1,1
a,b,3.3,2.98,2.27,0,2
a,b,2.88,3.9,2.13,1,3
a,b,3.5,2.4,2.65,4,4
a,b,2.05,4.3,2.72,1,0
a,b,2.95,3.1,2.44,0,1
a,b,2.27,2.87,3.45,0,2
a,b,5.1,1.38,6.2,3,1
a,b,4.2,1.29,13,3,0
a,b,3.3,1.88,4.4,1,1
a,b,3.25,1.97,3.6,0,1
switzerland,portugal,3.55,3.9,1.85,1,0
espain,chek,4.85,1.39,9.1,2,0
slowny,serbia,3.4,4.4,1.91,2,2
greece,cozovo,3.55,1.79,5.1,2,0
malt,san marino,7.5,1.15,25,1,0
norway,sweden,3.3,2.04,4.15,3,2
gorgia,bulgaria,4.1,1.57,6.7,0,0
magdunia,gilbartar,10.5,1.1,33,4,0
kazakhstan,slovakia,3.4,5.35,1.8,2,1
edame kazakhstan,slovakia,2.93,6.4,1.83,0,1
france,croatia,4.3,1.52,7.1,0,1
denmark,austria,3.6,1.85,4.75,2,0
island,israel,3.3,2.85,2.64,2,2
azarbaijan,belarus,3.0,2.52,3.04,2,0
england,hungary,6.1,1.27,13.5,0,4
germany,italy,3.8,1.86,4.45,5,2
netherland,walse,4.35,1.5,7.45,3,2
poland,belgium,3.5,3.15,2.33,0,1
armenia,scotland,3.85,6.95,1.61,1,4
ukrain,irland,3.4,1.89,4.8,1,1
bosnia,finland,3.35,2.07,4.05,3,2
romania,montenegro,3.4,1.9,4.75,0,3
luxembourg,fareoisland,4.3,1.45,8.7,2,2
turkey,litvani,13.4,1.08,33,2,0
moldavi,andora,3.65,1.6,7.2,2,1
likhtenstein,latvia,4.9,10.5,1.35,0,2
flamingo,kooyaba,5.3,1.32,10.3,2,0
goias,internacional,3,3.25,2.38,1,2
america-miniro,flomineze,3,2.38,3.3,0,0
atlethico-paranaenze,cooritians,2.9,2.55,3.1,1,1
terengano,kedah,3.9,1.73,4.4,
